country,date,inflation
AT,2008-01-01,3.2333333333333334
AT,2008-04-01,3.7333333333333334
AT,2008-07-01,3.7
AT,2008-10-01,2.2666666666666666
AT,2009-01-01,1.0333333333333332
AT,2009-04-01,0.1
AT,2009-07-01,-0.06666666666666668
AT,2009-10-01,0.6
AT,2010-01-01,1.3
AT,2010-04-01,1.7666666666666666
AT,2010-07-01,1.6666666666666667
AT,2010-10-01,2
AT,2011-01-01,3
AT,2011-04-01,3.7
AT,2011-07-01,3.8
AT,2011-10-01,3.6666666666666665
AT,2012-01-01,2.7
AT,2012-04-01,2.2333333333333334
AT,2012-07-01,2.4
AT,2012-10-01,2.9
AT,2013-01-01,2.6
AT,2013-04-01,2.2333333333333334
AT,2013-07-01,1.9666666666666668
AT,2013-10-01,1.6666666666666667
AT,2014-01-01,1.5
AT,2014-04-01,1.6
AT,2014-07-01,1.5333333333333332
AT,2014-10-01,1.2333333333333334
AT,2015-01-01,0.6333333333333333
AT,2015-04-01,0.9666666666666667
AT,2015-07-01,0.9
AT,2015-10-01,0.7666666666666667
DE,2008-01-01,3.1
DE,2008-04-01,3.066666666666667
DE,2008-07-01,3.2333333333333334
DE,2008-10-01,1.7
DE,2009-01-01,0.8
DE,2009-04-01,0.19999999999999998
DE,2009-07-01,-0.36666666666666664
DE,2009-10-01,0.36666666666666664
DE,2010-01-01,0.7666666666666666
DE,2010-04-01,1.0333333333333332
DE,2010-07-01,1.1333333333333333
DE,2010-10-01,1.5333333333333334
DE,2011-01-01,2.2333333333333334
DE,2011-04-01,2.533333333333333
DE,2011-07-01,2.6333333333333333
DE,2011-10-01,2.566666666666667
DE,2012-01-01,2.433333333333333
DE,2012-04-01,2.066666666666667
DE,2012-07-01,2.1333333333333333
DE,2012-10-01,2.033333333333333
DE,2013-01-01,1.8666666666666667
DE,2013-04-01,1.5333333333333334
DE,2013-07-01,1.6666666666666667
DE,2013-10-01,1.3333333333333333
DE,2014-01-01,0.9333333333333333
DE,2014-04-01,0.9
DE,2014-07-01,0.7666666666666667
DE,2014-10-01,0.4333333333333333
DE,2015-01-01,-0.13333333333333333
DE,2015-04-01,1.2333333333333334
DE,2015-07-01,1.0666666666666667
DE,2015-10-01,0.5333333333333333
EL,2008-01-01,4.3
EL,2008-04-01,4.733333333333333
EL,2008-07-01,4.8
EL,2008-10-01,3.066666666666667
EL,2009-01-01,1.7666666666666666
EL,2009-04-01,0.8333333333333334
EL,2009-07-01,0.7999999999999999
EL,2009-10-01,1.9333333333333333
EL,2010-01-01,3.033333333333333
EL,2010-04-01,5.1
EL,2010-07-01,5.6
EL,2010-10-01,5.066666666666666
EL,2011-01-01,4.433333333333334
EL,2011-04-01,3.3000000000000003
EL,2011-07-01,2.1333333333333333
EL,2011-10-01,2.6333333333333333
EL,2012-01-01,1.7
EL,2012-04-01,1.1333333333333333
EL,2012-07-01,0.7666666666666667
EL,2012-10-01,0.5333333333333333
