date,Austria,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain
2008-01-01,25.40333333333331,15.666666666666629,0,65.99999999999993,28.33333333333332,45.000000000000014,12.366666666666681,38.53333333333335,22.46666666666668
2008-04-01,28.636666666666688,21.66666666666668,0,53.00000000000003,39.00000000000006,52.70000000000002,18.20000000000004,44.16666666666673,25.766666666666715
2008-07-01,31.32999999999999,22.33333333333336,0,72.66666666666666,42.99999999999997,64.4333333333334,21.933333333333316,50.86666666666666,38.23333333333334
2008-10-01,64.37333333333339,40.33333333333333,0,171.66666666666663,106.3333333333333,116.7333333333334,44.933333333333316,80.69999999999999,65.99999999999997
2009-01-01,104.96333333333334,57.00000000000003,0,258.33333333333337,246.33333333333337,146.5,66.6,142.9333333333334,107.39999999999998
2009-04-01,83.27,46.333333333333336,0,206.66666666666663,212.33333333333331,113.56666666666663,53.666666666666664,111.60000000000005,78.13333333333334
2009-07-01,54.73666666666666,33.33333333333335,0,172.00000000000003,179.00000000000006,88.89999999999998,34.76666666666666,74.16666666666667,56.73333333333335
2009-10-01,43.083333333333314,34.33333333333333,0,188.00000000000003,163.33333333333334,86.49999999999997,30.699999999999996,66.36666666666669,60.099999999999994
2010-01-01,47.273333333333326,31.000000000000007,0,311.66666666666663,152.00000000000006,84.66666666666667,22.033333333333303,117.13333333333331,75.8
2010-04-01,51.02666666666664,40.66666666666663,0,582.3333333333333,219.99999999999997,125.1,30.266666666666666,233.7333333333333,140.40000000000003
2010-07-01,45.69666666666667,36.00000000000003,0,796.9999999999999,316.33333333333337,147.33333333333331,22.166666666666668,320.20000000000005,176.5
2010-10-01,49.22333333333335,42.333333333333336,0,847.6666666666666,509.99999999999994,159.90000000000003,24.233333333333327,389.9333333333334,210.50000000000006
2011-01-01,48.97,40.66666666666663,0,878.0000000000001,603,163.66666666666669,20.96666666666667,421.56666666666666,215.49999999999994
2011-04-01,47.856666666666655,43.99999999999999,0,1204,752.3333333333333,170.76666666666665,34.76666666666666,679.8,228.2
2011-07-01,68.43333333333331,74.66666666666666,0,1588.3333333333335,791.6666666666666,323.3333333333333,46.83333333333333,921.4333333333333,316.5666666666666
2011-10-01,119.27000000000001,125.33333333333336,0,2562.6666666666665,650.3333333333333,468.03333333333336,49.53333333333332,1029.5666666666666,372.69999999999993
2012-01-01,121.30666666666667,121.66666666666669,0,3298.6666666666665,537.6666666666667,387.7333333333333,39.40000000000001,1138.9999999999998,339.46666666666664
2012-04-01,111.53333333333333,135,0,2378.6666666666665,561,436.76666666666665,63.93333333333333,996.2666666666668,474.90000000000003
2012-07-01,66.90000000000002,85.66666666666667,0,2166,441.33333333333337,433.40000000000003,42.599999999999994,830.9,507.2333333333334
2012-10-01,50.72999999999999,74.33333333333331,0,1466.6666666666667,330.6666666666667,341.2,28.96666666666665,654.5,418.9
2013-01-01,41.13666666666664,69.33333333333334,0,976.3333333333334,246.3333333333333,298.0333333333333,27.79999999999998,477.9333333333334,359.63333333333327
2013-04-01,47.06999999999999,61.999999999999986,0,889,242,286.7,44.466666666666654,462.8666666666667,316.26666666666665
2013-07-01,48.09000000000001,64.00000000000001,0,828.6666666666667,219,273.26666666666665,45.6666666666667,511.6333333333333,280.20000000000005
2013-10-01,40.0066666666667,58.33333333333335,0,673.6666666666669,180.66666666666666,240.56666666666663,38.3,437.0333333333333,240.40000000000003
2014-01-01,37.353333333333325,64.99999999999997,0,569,161.66666666666666,202.86666666666662,32.3,324.9,194.36666666666667
2014-04-01,32.95999999999999,50.99999999999998,0,468.33333333333337,133.33333333333331,174.03333333333336,36.76666666666666,231.06666666666666,156.7333333333333
2014-07-01,32.879999999999995,44.66666666666666,0,488,102.33333333333331,161.56666666666666,26.03333333333333,245.26666666666665,143.2333333333333
2014-10-01,26.39,40.66666666666667,0,698.9999999999999,84.33333333333334,153.46666666666667,21.433333333333337,234.96666666666667,129
2015-01-01,14.576666666666672,28.666666666666675,0,960,74,121.10000000000001,11.400000000000004,187.66666666666669,112.33333333333333
2015-04-01,20.346666666666664,35.33333333333332,0,1073,72,129.93333333333334,21.73333333333333,191.46666666666664,128.23333333333332
2015-07-01,34.816666666666684,38.33333333333334,0,999.6666666666666,70,127.70000000000002,24.5,195.63333333333333,137.06666666666666
2015-10-01,30.743333333333332,36.33333333333333,0,723,58.666666666666664,108.5,20.166666666666664,196.0333333333333,117.96666666666667
